,v1_unit,dlgn_unit,upper_bound,ampc,loss
0,1,1_1,0.1,0.01502,0.06836
1,1,1_1,0.1,0.01535,0.06573
2,1,1_1,0.1,0.02226,0.1265
3,1,1_1,0.1,0.01532,0.0761
4,1,1_1,0.1,0.01811,0.09424
5,1,1_1,0.1,0.01363,0.0759
6,1,1_1,0.1,0.01375,0.0733
7,1,1_1,0.1,0.01688,0.069
8,1,1_1,0.1,0.0164,0.0731
9,1,1_1,0.1,0.01675,0.0675
10,1,1_1,0.1,0.015274,0.0695
11,1,1_1,0.1,0.01912,0.08514
12,1,1_1,0.1,0.02097,0.10406
13,1,1_1,0.1,0.01544,0.07495
14,1,1_1,0.1,0.02501,0.0979
15,1,1_1,0.1,0.02415,0.10236
16,1,1_1,0.1,0.01554,0.07385
17,1,1_1,0.1,0.02084,0.08264
18,1,1_1,0.1,0.01721,0.0869
19,1,1_1,0.1,0.01683,0.0724
20,1,1_1,0.1,0.02048,0.1233
21,1,1_1,0.1,0.02026,0.08325
22,1,1_1,0.1,0.01505,0.1206
23,1,1_1,0.1,0.02138,0.165
24,1,1_1,0.1,0.0163,0.0706
25,1,1_1,0.1,0.02065,0.0759
26,1,1_1,0.1,0.01477,0.07263
27,1,1_1,0.1,0.0204,0.0729
28,1,1_1,0.1,0.01775,0.0979
29,1,1_1,0.1,0.01843,0.07526
30,1,1_1,0.1,0.02103,0.12415
31,1,1_1,0.1,0.0182,0.11
32,1,1_1,0.1,0.0201,0.0724
33,1,1_1,0.1,0.01794,0.1414
34,1,1_1,0.1,0.01903,0.0798
35,1,1_1,0.1,0.02179,0.09674
36,1,1_1,0.1,0.01703,0.07007
37,1,1_1,0.1,0.02008,0.0728
38,1,1_1,0.1,0.01851,0.0668
39,1,1_1,0.1,0.02113,0.1083
40,1,1_1,0.1,0.01968,0.0972
41,1,1_1,0.1,0.02167,0.1049
42,1,1_1,0.1,0.02032,0.0768
43,1,1_1,0.1,0.0226,0.07385
44,1,1_1,0.1,0.02095,0.1277
45,1,1_1,0.1,0.0164,0.0781
46,1,1_1,0.1,0.02174,0.08636
47,1,1_1,0.1,0.01868,0.0859
48,1,1_1,0.1,0.02031,0.0934
49,1,1_1,0.1,0.0157,0.0955
50,1,1_1,0.1,0.01874,0.07336
51,1,1_1,0.1,0.0172,0.0689
52,1,1_1,0.1,0.01913,0.07306
53,1,1_1,0.1,0.01672,0.0846
54,1,1_1,0.1,0.01616,0.09216
55,1,1_1,0.1,0.02261,0.10425
56,1,1_1,0.1,0.01507,0.0789
57,1,1_1,0.1,0.01723,0.07697
58,1,1_1,0.1,0.01886,0.0778
59,1,1_1,0.1,0.01982,0.0752
60,1,1_1,0.1,0.0236,0.12067
61,1,1_1,0.1,0.01472,0.1088
62,1,1_1,0.1,0.0201,0.07806
63,1,1_1,0.1,0.01663,0.06946
64,1,1_1,0.1,0.0154,0.06793
65,1,1_1,0.1,0.01688,0.08344
66,1,1_1,0.1,0.015144,0.07837
67,1,1_1,0.1,0.0171,0.09644
68,1,1_1,0.1,0.01865,0.09674
69,1,1_1,0.1,0.01921,0.0884
70,1,1_1,0.1,0.0223,0.0819
71,1,1_1,0.1,0.01883,0.09924
72,1,1_1,0.1,0.023,0.11017
73,1,1_1,0.1,0.02043,0.0828
74,1,1_1,0.1,0.02046,0.0938
75,1,1_1,0.1,0.01452,0.1389
76,1,1_1,0.1,0.01598,0.07556
77,1,1_1,0.1,0.01744,0.08466
78,1,1_1,0.1,0.0169,0.07306
79,1,1_1,0.1,0.01773,0.09937
80,1,1_1,0.1,0.01688,0.0719
81,1,1_1,0.1,0.02025,0.0684
82,1,1_1,0.1,0.01758,0.06946
83,1,1_1,0.1,0.03041,0.1318
84,1,1_1,0.1,0.0214,0.0674
85,1,1_1,0.1,0.01465,0.09955
86,1,1_1,0.1,0.0179,0.07294
87,1,1_1,0.1,0.01836,0.07416
88,1,1_1,0.1,0.02219,0.09076
89,1,1_1,0.1,0.018,0.08325
90,1,1_1,0.1,0.01336,0.1389
91,1,1_1,0.1,0.01952,0.0884
92,1,1_1,0.1,0.02121,0.0707
93,1,1_1,0.1,0.02832,0.1323
94,1,1_1,0.1,0.02324,0.1153
95,1,1_1,0.1,0.0149,0.08185
96,1,1_1,0.1,0.01538,0.07367
97,1,1_1,0.1,0.01825,0.09125
98,1,1_1,0.1,0.01695,0.1184
99,1,1_1,0.1,0.0197,0.07
100,1,1_1,0.1,0.0161,0.08075
101,1,1_1,0.1,0.013535,0.08563
102,1,1_1,0.1,0.01729,0.0759
103,1,1_1,0.1,0.01784,0.0803
104,1,1_1,0.1,0.01808,0.11304
105,1,1_1,0.1,0.02052,0.09247
106,1,1_1,0.1,0.01752,0.0751
107,1,1_1,0.1,0.02058,0.07294
108,1,1_1,0.1,0.01707,0.1616
109,1,1_1,0.1,0.01398,0.1927
110,1,1_1,0.1,0.01558,0.08466
111,1,1_1,0.1,0.01942,0.0762
112,1,1_1,0.1,0.0227,0.0839
113,1,1_1,0.1,0.01898,0.1022
114,1,1_1,0.1,0.01842,0.083
115,1,1_1,0.1,0.01525,0.07336
116,1,1_1,0.1,0.01834,0.0742
117,1,1_1,0.1,0.02187,0.06854
118,1,1_1,0.1,0.01791,0.0904
119,1,1_1,0.1,0.02254,0.08813
120,1,1_1,0.1,0.01848,0.08203
121,1,1_1,0.1,0.02672,0.1131
122,1,1_1,0.1,0.01822,0.06793
123,1,1_1,0.1,0.02126,0.079
124,1,1_1,0.1,0.01851,0.0824
125,1,1_1,0.1,0.02394,0.0817
126,1,1_1,0.1,0.01414,0.0677
127,1,1_1,0.1,0.0184,0.1038
128,1,1_1,0.1,0.01396,0.0842
129,1,1_1,0.1,0.02025,0.0739
130,1,1_1,0.1,0.01755,0.07245
131,1,1_1,0.1,0.01839,0.0765
132,1,1_1,0.1,0.02428,0.144
133,1,1_1,0.1,0.01776,0.081
134,1,1_1,0.1,0.02216,0.0729
135,1,1_1,0.1,0.02362,0.10034
136,1,1_1,0.1,0.0216,0.0927
137,1,1_1,0.1,0.02025,0.0788
138,1,1_1,0.1,0.02342,0.1327
139,1,1_1,0.1,0.01717,0.0695
140,1,1_1,0.1,0.02544,0.1337
141,1,1_1,0.1,0.02162,0.0705
142,1,1_1,0.1,0.01901,0.0794
143,1,1_1,0.1,0.01944,0.07263
144,1,1_1,0.1,0.02052,0.0713
145,1,1_1,0.1,0.01439,0.0831
146,1,1_1,0.1,0.01582,0.08154
147,1,1_1,0.1,0.02171,0.0891
148,1,1_1,0.1,0.01561,0.1934
149,1,1_1,0.1,0.01704,0.1047
150,1,1_1,0.1,0.0168,0.0732
151,1,1_1,0.1,0.01744,0.0728
152,1,1_1,0.1,0.01997,0.09973
153,1,1_1,0.1,0.01501,0.11035
154,1,1_1,0.1,0.0234,0.0727
155,1,1_1,0.1,0.01753,0.08575
156,1,1_1,0.1,0.0164,0.0701
157,1,1_1,0.1,0.01828,0.0727
158,1,1_1,0.1,0.02222,0.10016
159,1,1_1,0.1,0.02312,0.0838
160,1,1_1,0.1,0.01886,0.0738
161,1,1_1,0.1,0.01628,0.06964
162,1,1_1,0.1,0.01988,0.072
163,1,1_1,0.1,0.0222,0.0812
164,1,1_1,0.1,0.01884,0.1095
165,1,1_1,0.1,0.02446,0.0797
166,1,1_1,0.1,0.0203,0.1635
167,1,1_1,0.1,0.02017,0.0791
168,1,1_1,0.1,0.01819,0.07007
169,1,1_1,0.1,0.01779,0.06964
170,1,1_1,0.1,0.02005,0.0943
171,1,1_1,0.1,0.02708,0.1056
172,1,1_1,0.1,0.02254,0.07074
173,1,1_1,0.1,0.02571,0.1321
174,1,1_1,0.1,0.01988,0.07513
175,1,1_1,0.1,0.02104,0.0699
176,1,1_1,0.1,0.01881,0.10034
177,1,1_1,0.1,0.015,0.1085
178,1,1_1,0.1,0.0201,0.0773
179,1,1_1,0.1,0.01502,0.06866
180,1,1_1,0.1,0.02734,0.0953
181,1,1_1,0.1,0.02367,0.1116
182,1,1_1,0.1,0.02328,0.09357
183,1,1_1,0.1,0.02203,0.1097
184,1,1_1,0.1,0.02296,0.09064
185,1,1_1,0.1,0.02527,0.0774
186,1,1_1,0.1,0.02782,0.1287
187,1,1_1,0.1,0.02101,0.076
188,1,1_1,0.1,0.02023,0.105
189,1,1_1,0.1,0.02228,0.0749
190,1,1_1,0.1,0.0157,0.0718
191,1,1_1,0.1,0.01683,0.0733
192,1,1_1,0.1,0.01862,0.0877
193,1,1_1,0.1,0.015144,0.0791
194,1,1_1,0.1,0.01576,0.1416
195,1,1_1,0.1,0.02089,0.08417
196,1,1_1,0.1,0.01624,0.07886
197,1,1_1,0.1,0.02098,0.07245
198,1,1_1,0.1,0.01976,0.1225
199,1,1_1,0.1,0.01707,0.1615
200,1,1_1,0.1,0.02115,0.0719
201,1,1_1,0.1,0.01488,0.0731
202,1,1_1,0.1,0.02295,0.0798
203,1,1_1,0.1,0.01576,0.07275
204,1,1_1,0.1,0.013466,0.1635
205,1,1_1,0.1,0.01624,0.0722
206,1,1_1,0.1,0.01904,0.07544
207,1,1_1,0.1,0.01793,0.0766
