,v1_unit,dlgn_unit,upper_bound,ampw,loss
0,1,1_1,0.08,0.0593,0.1061
1,1,1_1,0.08,0.0249,0.0947
2,1,1_1,0.08,0.03072,0.07794
3,1,1_1,0.08,0.02315,0.08984
4,1,1_1,0.08,0.01736,0.0671
5,1,1_1,0.08,0.03964,0.11273
6,1,1_1,0.08,0.0519,0.09753
7,1,1_1,0.08,0.0448,0.1008
8,1,1_1,0.08,0.0372,0.0835
9,1,1_1,0.08,0.05002,0.0881
10,1,1_1,0.08,0.0668,0.1232
11,1,1_1,0.08,0.03223,0.0801
12,1,1_1,0.08,0.04636,0.1191
13,1,1_1,0.08,0.04388,0.1096
14,1,1_1,0.08,0.05194,0.0887
15,1,1_1,0.08,0.05634,0.11145
16,1,1_1,0.08,0.02289,0.0849
17,1,1_1,0.08,0.02104,0.06696
18,1,1_1,0.08,0.05292,0.0987
19,1,1_1,0.08,0.04025,0.1088
20,1,1_1,0.08,0.04877,0.0997
21,1,1_1,0.08,0.02594,0.0845
22,1,1_1,0.08,0.0473,0.11957
23,1,1_1,0.08,0.0534,0.0995
24,1,1_1,0.08,0.06287,0.10815
25,1,1_1,0.08,0.04227,0.099
26,1,1_1,0.08,0.03348,0.0991
27,1,1_1,0.08,0.05676,0.0963
28,1,1_1,0.08,0.03845,0.10046
29,1,1_1,0.08,0.0534,0.10065
30,1,1_1,0.08,0.04404,0.09503
31,1,1_1,0.08,0.03635,0.0947
32,1,1_1,0.08,0.0331,0.08215
33,1,1_1,0.08,0.02385,0.0753
34,1,1_1,0.08,0.03247,0.0899
35,1,1_1,0.08,0.0519,0.11597
36,1,1_1,0.08,0.0223,0.0824
37,1,1_1,0.08,0.02898,0.0735
38,1,1_1,0.08,0.02643,0.08136
39,1,1_1,0.08,0.01831,0.0755
40,1,1_1,0.08,0.03314,0.10645
41,1,1_1,0.08,0.05368,0.1183
42,1,1_1,0.08,0.04742,0.1016
43,1,1_1,0.08,0.0305,0.07776
44,1,1_1,0.08,0.03326,0.0937
45,1,1_1,0.08,0.03143,0.1292
46,1,1_1,0.08,0.03738,0.093
47,1,1_1,0.08,0.06464,0.1205
48,1,1_1,0.08,0.0487,0.12396
49,1,1_1,0.08,0.03726,0.0885
50,1,1_1,0.08,0.05255,0.1284
51,1,1_1,0.08,0.03119,0.1006
52,1,1_1,0.08,0.0291,0.07684
53,1,1_1,0.08,0.04733,0.1088
54,1,1_1,0.08,0.0708,0.09796
55,1,1_1,0.08,0.03928,0.08545
56,1,1_1,0.08,0.07245,0.1116
57,1,1_1,0.08,0.0361,0.10315
58,1,1_1,0.08,0.05557,0.105
59,1,1_1,0.08,0.02705,0.0812
60,1,1_1,0.08,0.0572,0.1023
61,1,1_1,0.08,0.06186,0.1266
62,1,1_1,0.08,0.0336,0.09216
63,1,1_1,0.08,0.03043,0.0789
64,1,1_1,0.08,0.05865,0.1231
65,1,1_1,0.08,0.07227,0.1132
66,1,1_1,0.08,0.0438,0.1141
67,1,1_1,0.08,0.06027,0.1071
68,1,1_1,0.08,0.06335,0.1108
69,1,1_1,0.08,0.0461,0.11115
70,1,1_1,0.08,0.02406,0.0752
71,1,1_1,0.08,0.04288,0.1079
72,1,1_1,0.08,0.02113,0.08075
73,1,1_1,0.08,0.03253,0.1018
74,1,1_1,0.08,0.0571,0.0962
75,1,1_1,0.08,0.0482,0.11487
76,1,1_1,0.08,0.01662,0.0849
77,1,1_1,0.08,0.06323,0.1034
78,1,1_1,0.08,0.03677,0.0951
79,1,1_1,0.08,0.03232,0.0807
80,1,1_1,0.08,0.0667,0.1063
81,1,1_1,0.08,0.03906,0.1122
82,1,1_1,0.08,0.01496,0.06757
83,1,1_1,0.08,0.0466,0.09735
84,1,1_1,0.08,0.0364,0.0819
85,1,1_1,0.08,0.06094,0.11066
86,1,1_1,0.08,0.0589,0.1243
87,1,1_1,0.08,0.0365,0.0871
